Model,Feature Set,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,Corrected (no leakage),0.7506,0.7512,0.7767,0.7637,0.8358
Decision Tree,Corrected (no leakage),0.6977,0.6792,0.7913,0.7309,0.6941
Random Forest,Corrected (no leakage),0.7708,0.7889,0.7621,0.7753,0.8534
KNN,Corrected (no leakage),0.728,0.7606,0.6942,0.7259,0.7975
Naive Bayes,Corrected (no leakage),0.7204,0.7251,0.7427,0.7338,0.817
XGBoost,Corrected (no leakage),0.7683,0.7767,0.7767,0.7767,0.8503
XGBoost (balanced),Corrected (no leakage),0.7657,0.7678,0.7864,0.777,0.8651
LightGBM,Corrected (no leakage),0.7683,0.7767,0.7767,0.7767,0.8565
