Model,Feature Set,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,Full (with leakage),0.8715,0.8856,0.8641,0.8747,0.9537
Decision Tree,Full (with leakage),0.9597,0.9567,0.966,0.9614,0.9594
Random Forest,Full (with leakage),0.9446,0.9694,0.9223,0.9453,0.9903
KNN,Full (with leakage),0.8615,0.9037,0.8204,0.8601,0.9228
Naive Bayes,Full (with leakage),0.8212,0.8771,0.7621,0.8156,0.9163
XGBoost,Full (with leakage),0.9673,0.9573,0.9806,0.9688,0.9983
XGBoost (balanced),Full (with leakage),0.9723,0.9621,0.9854,0.9736,0.9988
LightGBM,Full (with leakage),0.9798,0.967,0.9951,0.9809,0.9983
