Model,Accuracy Mean,Accuracy Std,Accuracy,Precision Mean,Precision Std,Precision,Recall Mean,Recall Std,Recall,F1 Score Mean,F1 Score Std,F1 Score,ROC-AUC Mean,ROC-AUC Std,ROC-AUC
Logistic Regression,0.7174,0.0217,0.7174 ± 0.0217,0.7289,0.0284,0.7289 ± 0.0284,0.7307,0.0475,0.7307 ± 0.0475,0.7284,0.0235,0.7284 ± 0.0235,0.807,0.0213,0.8070 ± 0.0213
Decision Tree,0.7264,0.0312,0.7264 ± 0.0312,0.7295,0.031,0.7295 ± 0.0310,0.7548,0.0494,0.7548 ± 0.0494,0.7411,0.032,0.7411 ± 0.0320,0.7253,0.031,0.7253 ± 0.0310
Random Forest,0.7532,0.025,0.7532 ± 0.0250,0.7919,0.0199,0.7919 ± 0.0199,0.7132,0.0564,0.7132 ± 0.0564,0.7492,0.0328,0.7492 ± 0.0328,0.8377,0.0252,0.8377 ± 0.0252
KNN,0.7058,0.0271,0.7058 ± 0.0271,0.7483,0.0252,0.7483 ± 0.0252,0.6551,0.061,0.6551 ± 0.0610,0.697,0.0382,0.6970 ± 0.0382,0.7729,0.0255,0.7729 ± 0.0255
Naive Bayes,0.6997,0.0312,0.6997 ± 0.0312,0.7117,0.0336,0.7117 ± 0.0336,0.7122,0.0434,0.7122 ± 0.0434,0.7112,0.0315,0.7112 ± 0.0315,0.7845,0.0236,0.7845 ± 0.0236
XGBoost,0.7602,0.0302,0.7602 ± 0.0302,0.7878,0.0311,0.7878 ± 0.0311,0.7384,0.0471,0.7384 ± 0.0471,0.7615,0.0333,0.7615 ± 0.0333,0.8417,0.0262,0.8417 ± 0.0262
XGBoost (balanced),0.7502,0.0331,0.7502 ± 0.0331,0.776,0.0369,0.7760 ± 0.0369,0.7316,0.0432,0.7316 ± 0.0432,0.7525,0.0344,0.7525 ± 0.0344,0.8404,0.0222,0.8404 ± 0.0222
LightGBM,0.7688,0.0296,0.7688 ± 0.0296,0.802,0.0284,0.8020 ± 0.0284,0.7384,0.0562,0.7384 ± 0.0562,0.7676,0.0352,0.7676 ± 0.0352,0.8484,0.027,0.8484 ± 0.0270
